trans_id	transaction_date	cardholder_name	card_number	merchant	amount	merchant_category
QKC-9120319777	2/11/2019	Lise Morrott	6389266041847869	Janyx	$55473.61	Tools
ELP-5309375232	12/30/2018	Worthy Brognot	5283544963411826	Realcube	$42568.09	Music
XXU-6378550347	6/20/2019	Farlee Zorn	4405944397283757	Tavu	$6350.31	Industrial
MTZ-8016474015	11/25/2018	Hazel Elsom	3564387660164081	Thoughtmix	$95819.36	Beauty
PUF-2308989616	8/25/2018	Aluin Ornelas	5602257882513739	Gabvine	$27592.61	Automotive
CLL-3846581422	5/3/2019	Nathanael Ginity	3577994976656968	Livetube	$91359.55	Industrial
OWN-5334486744	12/11/2018	Ariel McGowan	3564162326892601	Youspan	$44513.73	Toys
GZL-4492402280	2/24/2019	Gerti Kedwell	3539902759463079	Skaboo	$40268.49	Computers
NRF-5185124933	12/5/2018	Ellen Knappe	337941821401279	Aimbo	$33665.76	Outdoors
ACO-3218501979	5/20/2019	Billie Godfery	3560956271356247	Edgeblab	$72937.04	Kids
AGJ-6103795030	8/17/2018	Rockie Quinsee	3560576674393298	Rhycero	$82059.09	Beauty
HZB-4970937729	11/6/2018	Odie Ebrall	374622778124510	Livetube	$54231.65	Computers
NWF-9214354465	5/17/2019	Cirstoforo Crowe	3565028150404863	Jaxspan	$31639.21	Music
GWC-0484059089	7/17/2019	Kori Saywood	67061255008768926	Skimia	$33450.46	Beauty
IWT-9985502794	3/13/2019	Gertie Zanuciolii	3537663046533940	Tagfeed	$71652.90	Jewelery
CLK-1813633819	3/22/2019	Abdel Bleby	5222523108774102	Voolith	$20982.13	Computers
BWV-6437690171	7/22/2018	Celka Chasmoor	3531185483028222	Oyondu	$1568.73	Sports
NVL-7610435810	9/23/2018	Mia Stockbridge	5038031408108190276	Skiptube	$72430.35	Movies
FHO-2167351867	10/9/2018	Alison Grishelyov	3547553909080436	Eayo	$72671.25	Home
NRZ-2891986584	6/14/2019	Timi Gidman	3577718505626089	Linkbridge	$68360.26	Computers
VGE-4801188767	6/17/2019	Dan Truckett	3534529206782382	Browseblab	$34824.45	Health
SWW-1027368996	10/27/2018	Kalie Vasechkin	630479196956001426	Jaloo	$95752.94	Health
ECQ-7878466361	1/1/2019	Nariko Abrami	30065389958551	Eamia	$40098.02	Music
TJG-8173962078	5/24/2019	Virge Brundell	4903008001531618	Rhynoodle	$46773.73	Tools
ASR-8607743907	4/15/2019	Clo Ballefant	3542877936323245	Roomm	$14654.93	Sports
IMR-2521999673	7/9/2019	Horton Cuncarr	4403075771612774	Rhycero	$13849.92	Sports
MAK-9704746467	3/9/2019	Rafaelia Thebeau	201401763569115	Rhynoodle	$91895.69	Electronics
NUH-6238499850	10/24/2018	Ricoriki Neads	5007661186848942	Digitube	$46705.92	Music
THZ-2920249859	9/6/2018	Mason Taffe	3537599829462727	Wikizz	$10595.66	Music
TEZ-3271106240	11/2/2018	Candra Budding	3560184981207234	Kamba	$3482.48	Computers
YFS-8058162765	4/26/2019	Felice Dight	5602243755116352547	Mynte	$64966.73	Industrial
TLF-9606811136	10/13/2018	Paulette Andrivel	4903349940515241	Rhyloo	$99058.90	Industrial
